607	3205	0.01
3205	607	0.01
850	3275	1.0
3275	850	1.0
5190	646	1.0
646	5190	1.0
1	831	1.0
831	1	1.0
5212	1021	1.0
1021	5212	1.0
741	4926	1.0
4926	741	1.0
78	1097	1.0
1097	78	1.0
4038	3022	0.01
3022	4038	0.01
2458	4926	0.01
4926	2458	0.01
3082	1216	1.0
1216	3082	1.0
5166	621	1.0
621	5166	1.0
2766	4280	1.0
4280	2766	1.0
2293	1474	0.01
1474	2293	0.01
1802	630	0.01
630	1802	0.01
2283	3846	0.01
3846	2283	0.01
2677	4926	1.0
4926	2677	1.0
5166	4742	1.0
4742	5166	1.0
888	3582	1.0
3582	888	1.0
2293	831	0.01
831	2293	0.01
3521	514	0.01
514	3521	0.01
2670	4251	0.01
4251	2670	0.01
78	926	1.0
926	78	1.0
3105	2929	0.01
2929	3105	0.01
763	4302	0.01
4302	763	0.01
741	1800	1.0
1800	741	1.0
473	4252	0.01
4252	473	0.01
3491	1579	0.01
1579	3491	0.01
834	3673	0.01
3673	834	0.01
2677	3582	1.0
3582	2677	1.0
2082	4304	1.0
4304	2082	1.0
3022	2670	1.0
2670	3022	1.0
3086	3497	0.01
3497	3086	0.01
3497	2918	1.0
2918	3497	1.0
3491	5240	1.0
5240	3491	1.0
5082	817	1.0
817	5082	1.0
435	3950	1.0
3950	435	1.0
78	4189	1.0
4189	78	1.0
3496	5190	1.0
5190	3496	1.0
4473	4302	1.0
4302	4473	1.0
504	4225	1.0
4225	504	1.0
4296	3521	0.01
3521	4296	0.01
2689	4481	1.0
4481	2689	1.0
2287	2115	0.01
2115	2287	0.01
2767	4523	1.0
4523	2767	1.0
1102	100	0.01
100	1102	0.01
1846	888	1.0
888	1846	1.0
817	3436	0.01
3436	817	0.01
1102	3205	1.0
3205	1102	1.0
3086	4875	0.01
4875	3086	0.01
4225	1221	0.01
1221	4225	0.01
741	4586	1.0
4586	741	1.0
4418	3755	1.0
3755	4418	1.0
5190	2536	1.0
2536	5190	1.0
4538	3521	0.01
3521	4538	0.01
2502	194	0.01
194	2502	0.01
4868	2753	0.01
2753	4868	0.01
2661	2116	0.01
2116	2661	0.01
2410	4314	0.01
4314	2410	0.01
4717	2229	1.0
2229	4717	1.0
3877	741	1.0
741	3877	1.0
2677	1102	1.0
1102	2677	1.0
5304	4688	0.01
4688	5304	0.01
3022	1802	1.0
1802	3022	1.0
2410	2766	1.0
2766	2410	1.0
4314	3833	0.01
3833	4314	0.01
373	3755	1.0
3755	373	1.0
741	100	1.0
100	741	1.0
2508	3854	1.0
3854	2508	1.0
4481	78	0.01
78	4481	0.01
1166	1389	0.01
1389	1166	0.01
2197	538	0.01
538	2197	0.01
5061	3834	1.0
3834	5061	1.0
762	1315	0.01
1315	762	0.01
1	4280	1.0
4280	1	1.0
5190	2502	1.0
2502	5190	1.0
3056	3275	1.0
3275	3056	1.0
41	4926	0.01
4926	41	0.01
467	4296	0.01
4296	467	0.01
1389	3615	1.0
3615	1389	1.0
4481	3954	1.0
3954	4481	1.0
5061	2726	1.0
2726	5061	1.0
3668	926	0.01
926	3668	0.01
1389	4252	1.0
4252	1389	1.0
4280	5190	0.01
5190	4280	0.01
1019	2627	0.01
2627	1019	0.01
4701	4007	1.0
4007	4701	1.0
3082	382	0.01
382	3082	0.01
471	3418	1.0
3418	471	1.0
2116	2807	0.01
2807	2116	0.01
3018	2115	0.01
2115	3018	0.01
3891	3537	1.0
3537	3891	1.0
831	941	1.0
941	831	1.0
4320	1097	1.0
1097	4320	1.0
1149	4717	1.0
4717	1149	1.0
3588	4296	0.01
4296	3588	0.01
2508	5240	1.0
5240	2508	1.0
4225	2216	0.01
2216	4225	0.01
4189	3972	1.0
3972	4189	1.0
373	357	0.01
357	373	0.01
2677	741	1.0
741	2677	1.0
2054	4252	1.0
4252	2054	1.0
2407	2371	0.01
2371	2407	0.01
1434	5082	0.01
5082	1434	0.01
2875	4276	0.01
4276	2875	0.01
2665	859	0.01
859	2665	0.01
1389	5212	1.0
5212	1389	1.0
1816	733	0.01
733	1816	0.01
3615	2783	0.01
2783	3615	0.01
741	2023	1.0
2023	741	1.0
3599	4189	0.01
4189	3599	0.01
2677	3491	1.0
3491	2677	1.0
3877	463	0.01
463	3877	0.01
4302	817	0.01
817	4302	0.01
4792	2875	0.01
2875	4792	0.01
4320	2407	0.01
2407	4320	0.01
3537	4586	0.01
4586	3537	0.01
1824	1021	1.0
1021	1824	1.0
3599	1434	0.01
1434	3599	0.01
2407	1651	1.0
1651	2407	1.0
